"id";"Imagen";"Nombre";"Referencia";"Categoría";"Precio base";"Precio final";"Cantidad";"Estado";
"78";"http://makemark.com.co/babalu/img/p/4/0/4/404.jpg";"TALONERAS DAMA VARIAS OPCIONES DE COLOR TALLA ÚNICA";"0403";"Ropa Deportiva Femenina";"9212.760000";"9212.76";"3";"1";
"20";"http://makemark.com.co/babalu/img/p/1/7/8/178.jpg";"CHALECO DEPORTIVO POLIAMIDA TALLA ÚNICA";"38883";"Ropa Deportiva Femenina";"5454.930000";"5454.93";"6";"1";
"142";"http://makemark.com.co/babalu/img/p/5/8/4/584.jpg";"PANTALÓN DEPORTIVO MICROFIBRA BOSTON";"28876";"ROPA DEPORTIVA MASCULINA";"6263.060000";"6263.06";"36";"1";
"86";"http://makemark.com.co/babalu/img/p/4/3/1/431.jpg";"LEGGINS ALGODÓN FIBRA LYCRA® TALLA ÚNICA";"15923";"Ropa Deportiva Femenina";"4646.790000";"4646.79";"6";"1";
"29";"http://makemark.com.co/babalu/img/p/2/1/0/210.jpg";"TOP POLIAMIDA TALLA ÚNICA";"38943";"Ropa Deportiva Femenina";"4040.690000";"4040.69";"9";"1";
"150";"http://makemark.com.co/babalu/img/p/6/0/3/603.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"38323";"Ropa Deportiva Femenina";"12728.160000";"12728.16";"9";"1";
"97";"http://makemark.com.co/babalu/img/p/4/6/9/469.jpg";"TRAJE DE BAÑO NYLON SPANDEX COLOR ÚNICO TALLA 32-34-36";"15164";"Vestidos de Baño";"12122.060000";"12122.06";"9";"1";
"40";"http://makemark.com.co/babalu/img/p/2/6/1/261.jpg";"LEGGINS TEJIDO SUPPLEX® TALLA ÚNICA";"38163";"Ropa Deportiva Femenina";"13132.230000";"13132.23";"6";"1";
"105";"http://makemark.com.co/babalu/img/p/4/9/0/490.jpg";"CONJUNTO NYLON ELASTANO SHANIA";"25251";"Lingerie";"7172.220000";"7172.22";"18";"1";
"48";"http://makemark.com.co/babalu/img/p/2/8/5/285.jpg";"LEGGINS POLIAMIDA TALLA ÚNICA";"37993";"Ropa Deportiva Femenina";"10707.820000";"10707.82";"6";"1";
"113";"http://makemark.com.co/babalu/img/p/5/1/4/514.jpg";"PANTY NYLON ELASTANO KABAH";"25211";"Lingerie";"2525.430000";"2525.43";"27";"1";
"56";"http://makemark.com.co/babalu/img/p/3/1/0/310.jpg";"CHAQUETA POLIÉSTER TALLA ÚNICA";"38893";"Ropa Deportiva Femenina";"10101.710000";"10101.71";"0";"1";
"121";"http://makemark.com.co/babalu/img/p/5/3/9/539.jpg";"TANGA NYLON ELASTANO GÉNESIS";"22381";"Lingerie";"1171.800000";"1171.8";"45";"1";
"64";"http://makemark.com.co/babalu/img/p/3/4/4/344.jpg";"SHORT POLIÉSTER TALLA S-M-L";"39073";"Ropa Deportiva Femenina";"14142.400000";"14142.4";"6";"1";
"7";"http://makemark.com.co/babalu/img/p/8/9/89.jpg";"BLUSA POLIÉSTER TALLA ÚNICA";"38813";"Ropa Deportiva Femenina";"6061.030000";"6061.03";"12";"1";
"129";"http://makemark.com.co/babalu/img/p/5/5/6/556.jpg";"PIJAMA NYLON ELASTANO ENCANTO";"25131";"Lingerie";"5656.960000";"5656.96";"27";"1";
"72";"http://makemark.com.co/babalu/img/p/3/7/7/377.jpg";"BALACA POLIAMIDA PAQUETE X4";"37723";"Ropa Deportiva Femenina";"2626.450000";"2626.45";"0";"1";
"15";"http://makemark.com.co/babalu/img/p/1/4/0/140.jpg";"ENTERIZO TEJIDO SUPPLEX® TALLA ÚNICA";"39013";"Ropa Deportiva Femenina";"19193.260000";"19193.26";"9";"1";
"137";"http://makemark.com.co/babalu/img/p/5/6/9/569.jpg";"BÓXER PIJAMERO REXO";"28116";"ROPA INTERIOR MICROFIBRA";"6263.060000";"6263.06";"24";"1";
"81";"http://makemark.com.co/babalu/img/p/4/2/1/421.jpg";"BLUSA MALLA NYLON TALLA ÚNICA";"12633";"Ropa Deportiva Femenina";"3838.650000";"3838.65";"9";"1";
"23";"http://makemark.com.co/babalu/img/p/1/8/9/189.jpg";"BLUSA POLIAMIDA TALLA ÚNICA";"38803";"Ropa Deportiva Femenina";"6061.030000";"6061.03";"9";"1";
"145";"http://makemark.com.co/babalu/img/p/5/9/8/598.jpg";"PANTALÓN DEPORTIVO MICROFIBRA ATLANTA";"28886";"ROPA DEPORTIVA MASCULINA";"6263.060000";"6263.06";"36";"1";
"89";"http://makemark.com.co/babalu/img/p/4/4/2/442.jpg";"TRAJE DE BAÑO POLIAMIDA COLOR ÚNICO TALLA 32-34-36";"15204";"Vestidos de Baño";"11111.890000";"11111.89";"9";"1";
"32";"http://makemark.com.co/babalu/img/p/2/2/7/227.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"37813";"Ropa Deportiva Femenina";"7071.200000";"7071.2";"9";"1";
"35";"http://makemark.com.co/babalu/img/p/2/4/1/241.jpg";"PANTALÓN POLIÉSTER TALLA ÚNICA";"36713";"Ropa Deportiva Femenina";"9091.540000";"9091.54";"3";"1";
"100";"http://makemark.com.co/babalu/img/p/4/7/9/479.jpg";"SALIDA DE BAÑO PANTALÓN POLIÉSTER TALLA ÚNICA";"13614";"Vestidos de Baño";"7071.200000";"7071.2";"6";"1";
"43";"http://makemark.com.co/babalu/img/p/2/7/2/272.jpg";"BLUSA POLIAMIDA TALLA ÚNICA";"38863";"Ropa Deportiva Femenina";"5656.960000";"5656.96";"7";"1";
"108";"http://makemark.com.co/babalu/img/p/4/9/9/499.jpg";"CONJUNTO NYLON ELASTANO TREVI";"25241";"Lingerie";"8788.490000";"8788.49";"17";"1";
"51";"http://makemark.com.co/babalu/img/p/2/9/5/295.jpg";"TOP TEJIDO SUPPLEX® TALLA ÚNICA";"38953";"Ropa Deportiva Femenina";"7071.200000";"7071.2";"9";"1";
